image_id,repo_tag,trigger_id,gate,trigger,check_output,gate_action,policy_id,matched_rule_id,whitelist_id,whitelist_name,inherited,Justification
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,41cb7cdf04850e33a11f80c42bf660b3,dockerfile,instruction,"Dockerfile directive 'HEALTHCHECK' not found, matching condition 'not_exists' check",warn,DoDDockerfileChecks,,,,no_data,Not applicable. Healthchecks do not apply to base images because they aren't designed to be running anything by default.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,cbff271f45d32e78dcc1979dbca9c14d,dockerfile,effective_user,"User root found as effective user, which is explicity not allowed",stop,DoDEffectiveUserChecks,,,,no_data,"Not applicable. Assigning an effective user in a base image does not make sense, particularly when utilizing this base image for another application build."
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,639f6f1177735759703e928c14714a59,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/chage. Mode: 0o104755,go,DoDFileChecks,9b37f652-81ea-4081-9696-e4078f13c02d,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for chage functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,c2e44319ae5b3b040044d8ae116d1c2f,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/gpasswd. Mode: 0o104755,go,DoDFileChecks,7230781a-adfe-41c1-8a60-9424015b4d2f,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for gpasswd functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,698044205a9c4a6d48b7937e66a6bf4f,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/mount. Mode: 0o104755,go,DoDFileChecks,858e8b7c-62df-49a4-8d6d-a0c13816741d,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for mount functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,463a9a24225c26f7a5bf3f38908e5cb3,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/newgrp. Mode: 0o104755,go,DoDFileChecks,d7cc62c6-7fd4-4034-bfaa-fa1323c0fdd2,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for newgrp functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,bcd159901fe47efddae5c095b4b0d7fd,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/passwd. Mode: 0o104755,go,DoDFileChecks,654c3344-1b21-4d13-a896-1acd3ffe5876,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for passwd functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,320a97c6816565eedf3545833df99dd0,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/su. Mode: 0o104755,go,DoDFileChecks,7593a55b-4d0c-4bf7-a0bb-678022875fd1,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for su functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,e7573262736ef52353cde3bae2617782,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/umount. Mode: 0o104755,go,DoDFileChecks,68f0da8b-db3d-4afb-bab8-f7656dc7dd7b,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for umount functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,addbb93c22e9b0988b8b40392a4538cb,files,suid_or_guid_set,SUID or SGID found set on file /usr/bin/write. Mode: 0o102755,go,DoDFileChecks,c2adc0bd-a566-4f2a-b57c-b9636e15c57e,RHELSUIDFilesWhitelist,RHEL SUID Files,no_data,Required for write functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,3456a263793066e9b5063ada6e47917d,files,suid_or_guid_set,SUID or SGID found set on file /usr/libexec/dbus-1/dbus-daemon-launch-helper. Mode: 0o104750,go,DoDFileChecks,e7c2f14b-1213-4a67-9295-2b1c3c280b02,RHELSUIDFilesWhitelist,RHEL SUID Files,no_data,Required for dbus-daemon-launch-helper functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,3e5fad1c039f3ecfd1dcdc94d2f1f9a0,files,suid_or_guid_set,SUID or SGID found set on file /usr/libexec/utempter/utempter. Mode: 0o102711,go,DoDFileChecks,8f5f8ebb-04da-4c80-9663-339d04a675bf,RHELSUIDFilesWhitelist,RHEL SUID Files,no_data,Required for utempter functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,abb121e9621abdd452f65844954cf1c1,files,suid_or_guid_set,SUID or SGID found set on file /usr/sbin/pam_timestamp_check. Mode: 0o104755,go,DoDFileChecks,e50325ea-0825-421f-87bd-e3addd082b16,RHELSUIDFilesWhitelist,RHEL SUID Files,no_data,Required for pam_timestamp_check functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,34de21e516c0ca50a96e5386f163f8bf,files,suid_or_guid_set,SUID or SGID found set on file /usr/sbin/unix_chkpwd. Mode: 0o104755,go,DoDFileChecks,eb36bb4f-8618-4be7-ae03-dd702c9b0c14,CommonSUIDFilesWhitelist,Common RHEL DEB SUID Files,no_data,Required for unix_chkpwd functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,c4ad80832b361f81df2a31e5b6b09864,files,suid_or_guid_set,SUID or SGID found set on file /usr/sbin/userhelper. Mode: 0o104711,go,DoDFileChecks,f811bc69-0300-4687-8cf4-c98e7471839a,RHELSUIDFilesWhitelist,RHEL SUID Files,no_data,Required for userhelper functionality.
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-26137+urllib3-1.24.2,vulnerabilities,package,MEDIUM Vulnerability found in non-os package type (python) - /usr/lib/python3.6/site-packages/urllib3 (CVE-2020-26137 - https://nvd.nist.gov/vuln/detail/CVE-2020-26137),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2019-11236+urllib3-1.24.2,vulnerabilities,package,MEDIUM Vulnerability found in non-os package type (python) - /usr/lib/python3.6/site-packages/urllib3 (CVE-2019-11236 - https://nvd.nist.gov/vuln/detail/CVE-2019-11236),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,VULNDB-115884+urllib3-1.24.2,vulnerabilities,package,MEDIUM Vulnerability found in non-os package type (python) - /usr/lib/python3.6/site-packages/urllib3 (fixed in: 1.24.3)(VULNDB-115884 - http://anchore-anchore-engine-api:8228/v1/query/vulnerabilities?id=VULNDB-115884),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8927+brotli,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - brotli (CVE-2020-8927 - https://access.redhat.com/security/cve/CVE-2020-8927),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8231+curl,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - curl (CVE-2020-8231 - https://access.redhat.com/security/cve/CVE-2020-8231),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8284+curl,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - curl (CVE-2020-8284 - https://access.redhat.com/security/cve/CVE-2020-8284),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8285+curl,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - curl (CVE-2020-8285 - https://access.redhat.com/security/cve/CVE-2020-8285),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8286+curl,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - curl (CVE-2020-8286 - https://access.redhat.com/security/cve/CVE-2020-8286),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512+dbus,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - dbus (CVE-2020-35512 - https://access.redhat.com/security/cve/CVE-2020-35512),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512+dbus-common,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - dbus-common (CVE-2020-35512 - https://access.redhat.com/security/cve/CVE-2020-35512),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512+dbus-daemon,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - dbus-daemon (CVE-2020-35512 - https://access.redhat.com/security/cve/CVE-2020-35512),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512+dbus-libs,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - dbus-libs (CVE-2020-35512 - https://access.redhat.com/security/cve/CVE-2020-35512),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512+dbus-tools,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - dbus-tools (CVE-2020-35512 - https://access.redhat.com/security/cve/CVE-2020-35512),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-27218+glib2,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - glib2 (CVE-2021-27218 - https://access.redhat.com/security/cve/CVE-2021-27218),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-27219+glib2,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - glib2 (CVE-2021-27219 - https://access.redhat.com/security/cve/CVE-2021-27219),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-28153+glib2,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - glib2 (CVE-2021-28153 - https://access.redhat.com/security/cve/CVE-2021-28153),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2019-25013+glibc,vulnerabilities,package,HIGH Vulnerability found in os package type (rpm) - glibc (CVE-2019-25013 - https://access.redhat.com/security/cve/CVE-2019-25013),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-27618+glibc,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - glibc (CVE-2020-27618 - https://access.redhat.com/security/cve/CVE-2020-27618),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-27645+glibc,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - glibc (CVE-2021-27645 - https://access.redhat.com/security/cve/CVE-2021-27645),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-3326+glibc,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - glibc (CVE-2021-3326 - https://access.redhat.com/security/cve/CVE-2021-3326),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2019-25013+glibc-common,vulnerabilities,package,HIGH Vulnerability found in os package type (rpm) - glibc-common (CVE-2019-25013 - https://access.redhat.com/security/cve/CVE-2019-25013),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-27618+glibc-common,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - glibc-common (CVE-2020-27618 - https://access.redhat.com/security/cve/CVE-2020-27618),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-27645+glibc-common,vulnerabilities,package,LOW Vulnerability found in os package type (rpm) - glibc-common (CVE-2021-27645 - https://access.redhat.com/security/cve/CVE-2021-27645),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2021-3326+glibc-common,vulnerabilities,package,MEDIUM Vulnerability found in os package type (rpm) - glibc-common (CVE-2021-3326 - https://access.redhat.com/security/cve/CVE-2021-3326),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
2ce00128a42fd3f694314bff53f8dc4faeb5ec11a80424e8d6674cb247a77d3c,registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2019-25013+glibc-minimal-langpack,vulnerabilities,package,HIGH Vulnerability found in os package type (rpm) - glibc-minimal-langpack (CVE-2019-25013 - https://access.redhat.com/security/cve/CVE-2019-25013),stop,DoDSoftwareChecks,,,,no_data,See Anchore CVE Results sheet
