tag,cve,severity,feed,feed_group,package,package_path,package_type,package_version,fix,url,inherited,description,nvd_cvss_v2_vector,nvd_cvss_v3_vector,vendor_cvss_v2_vector,vendor_cvss_v3_vector,Justification
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8927,Medium,vulnerabilities,rhel:8,brotli-1.0.6-2.el8,pkgdb,rpm,1.0.6-2.el8,None,https://access.redhat.com/security/cve/CVE-2020-8927,no_data,"A buffer overflow exists in the Brotli library versions prior to 1.0.8 where an attacker controlling the input length of a ""one-shot"" decompression request to a script can trigger a crash, which happens when copying over chunks of data larger than 2 GiB. It is recommended to update your Brotli library to 1.0.8 or later. If one cannot update, we recommend to use the ""streaming"" API as opposed to the ""one-shot"" API, and impose chunk size limits.",AV:N/AC:L/Au:N/C:N/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,,,Patched upstream in version 1.0.9 on 8/27/2020. Red Hat has not patched. This flaw can be mitigated by using the Streaming API instead of the One-Shot API and imposing chunk size limitations.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8231,Low,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8231,no_data,"Due to use of a dangling pointer, libcurl 7.29.0 through 7.71.1 can use the wrong connection when sending data.",AV:N/AC:L/Au:N/C:P/I:N/A:N,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,,,Published 2020-08-18. Fix available upstream in Fedora 32 (2020-08-21). Red Hat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8284,Medium,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8284,no_data,"A malicious server can use the FTP PASV response to trick curl 7.73.0 and earlier into connecting back to a given IP address and port, and this way potentially make curl extract information about services that are otherwise private and not disclosed, for example doing port scanning and service banner extractions.",AV:N/AC:M/Au:N/C:P/I:N/A:N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,,,Upstream patched in version 7.74.0 on 12/9/2020. Redhat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8285,Medium,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8285,no_data,curl 7.21.0 to and including 7.73.0 is vulnerable to uncontrolled recursion due to a stack overflow issue in FTP wildcard match parsing.,AV:N/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,,Upstream patched in version 7.74.0 on 12/9/2020. Redhat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-8286,Medium,vulnerabilities,rhel:8,curl-7.61.1-14.el8_3.1,pkgdb,rpm,7.61.1-14.el8_3.1,None,https://access.redhat.com/security/cve/CVE-2020-8286,no_data,curl 7.41.0 through 7.73.0 is vulnerable to an improper check for certificate revocation due to insufficient verification of the OCSP response.,AV:N/AC:L/Au:N/C:N/I:P/A:N,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,,Upstream patched in version 7.74.0 on 12/9/2020. Redhat has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512,Low,vulnerabilities,rhel:8,dbus-1.12.8-12.el8_3,pkgdb,rpm,1.12.8-12.el8_3,None,https://access.redhat.com/security/cve/CVE-2020-35512,no_data,"A use-after-free flaw was found in D-Bus Development branch <= 1.13.16, dbus-1.12.x stable branch <= 1.12.18, and dbus-1.10.x and older branches <= 1.10.30 when a system has multiple usernames sharing the same UID. When a set of policy rules references these usernames, D-Bus may free some memory in the heap, which is still used by data structures necessary for the other usernames sharing the UID, possibly leading to a crash or other undefined behaviors",AV:L/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,Patched upstream in version 1.12.20 on 7/2/2020. RH has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512,Low,vulnerabilities,rhel:8,dbus-common-1.12.8-12.el8_3,pkgdb,rpm,1.12.8-12.el8_3,None,https://access.redhat.com/security/cve/CVE-2020-35512,no_data,"A use-after-free flaw was found in D-Bus Development branch <= 1.13.16, dbus-1.12.x stable branch <= 1.12.18, and dbus-1.10.x and older branches <= 1.10.30 when a system has multiple usernames sharing the same UID. When a set of policy rules references these usernames, D-Bus may free some memory in the heap, which is still used by data structures necessary for the other usernames sharing the UID, possibly leading to a crash or other undefined behaviors",AV:L/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,Patched upstream in version 1.12.20 on 7/2/2020. RH has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512,Low,vulnerabilities,rhel:8,dbus-daemon-1.12.8-12.el8_3,pkgdb,rpm,1.12.8-12.el8_3,None,https://access.redhat.com/security/cve/CVE-2020-35512,no_data,"A use-after-free flaw was found in D-Bus Development branch <= 1.13.16, dbus-1.12.x stable branch <= 1.12.18, and dbus-1.10.x and older branches <= 1.10.30 when a system has multiple usernames sharing the same UID. When a set of policy rules references these usernames, D-Bus may free some memory in the heap, which is still used by data structures necessary for the other usernames sharing the UID, possibly leading to a crash or other undefined behaviors",AV:L/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,Patched upstream in version 1.12.20 on 7/2/2020. RH has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512,Low,vulnerabilities,rhel:8,dbus-libs-1.12.8-12.el8_3,pkgdb,rpm,1.12.8-12.el8_3,None,https://access.redhat.com/security/cve/CVE-2020-35512,no_data,"A use-after-free flaw was found in D-Bus Development branch <= 1.13.16, dbus-1.12.x stable branch <= 1.12.18, and dbus-1.10.x and older branches <= 1.10.30 when a system has multiple usernames sharing the same UID. When a set of policy rules references these usernames, D-Bus may free some memory in the heap, which is still used by data structures necessary for the other usernames sharing the UID, possibly leading to a crash or other undefined behaviors",AV:L/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,Patched upstream in version 1.12.20 on 7/2/2020. RH has not patched.
registry1.dsop.io/ironbank-staging/redhat/ubi/ubi8:198768,CVE-2020-35512,Low,vulnerabilities,rhel:8,dbus-tools-1.12.8-12.el8_3,pkgdb,rpm,1.12.8-12.el8_3,None,https://access.redhat.com/security/cve/CVE-2020-35512,no_data,"A use-after-free flaw was found in D-Bus Development branch <= 1.13.16, dbus-1.12.x stable branch <= 1.12.18, and dbus-1.10.x and older branches <= 1.10.30 when a system has multiple usernames sharing the same UID. When a set of policy rules references these usernames, D-Bus may free some memory in the heap, which is still used by data structures necessary for the other usernames sharing the UID, possibly leading to a crash or other undefined behaviors",AV:L/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,Patched upstream in version 1.12.20 on 7/2/2020. RH has not patched.
